gene id,gene name,mcf7_sicbx2_3_rep1,mcf7_sicbx2_3_rep2,mcf7_sicbx2_3_rep3,mcf7_siscr_rep1,mcf7_siscr_rep2,mcf7_siscr_rep3
ENSG00000196208.14,GREB1,70.489757,62.222246,98.390816,163.427924,170.70759,170.760246
ENSG00000196214.11,ZNF766,19.000866,30.29622,25.683096,10.626084,8.291014,12.478812
ENSG00000196220.16,SRGAP3,5.9999343,7.232332,3.95950328,2.0789909,1.98510573,1.4117228
ENSG00000196227.11,FAM217B,25.599312,33.16735,20.660997,10.183075,12.344926,10.143111
ENSG00000196233.13,LCOR,13.32265,13.840997,10.6816514,7.8270483,5.256039,6.180073
ENSG00000196267.12,ZNF836,7.026652,5.393962,8.879648,2.315476,2.861269,2.00294
ENSG00000196268.11,ZNF493,5.779169,5.9650578,7.452733,2.19661,2.07223,3.2967173
ENSG00000196275.14,GTF2IRD2,7.324987,7.4783,5.633327,2.449932574,4.004955,3.5216046
ENSG00000196290.15,NIF3L1,33.136248,37.086148,32.540405,52.389602,53.459766,48.015962
ENSG00000196323.14,ZBTB44,8.4847055,7.4615985,6.8739694,3.7676546,3.9393603,4.603837879
ENSG00000196358.11,NTNG2,1.06166698,0.0995227,0.0564386,0.8017,2.446176,2.2285811
ENSG00000196365.11,LONP1,56.99260006,65.84134977,100.278941,25.78304722,26.04007767,33.544505
ENSG00000196368.5,NUDT11,1.0728,1.11991,0.82355,1.48042,1.73469,1.75261
ENSG00000196372.13,ASB13,22.3855,23.006506,17.70864,28.2845165,34.378247,23.598056
ENSG00000196378.11,ZNF34,5.493032,6.5219143,8.5881519,3.047876,2.303855,2.656994
ENSG00000196387.9,ZNF140,34.370581,32.918815,41.580423,15.436753,11.12199,16.922668
ENSG00000196388.8,INCA1,4.558667,4.144692,3.70621,2.237138,1.179926,1.830581
ENSG00000196405.13,EVL,292.080943,289.439369,320.366683,93.532457,103.513086,117.3309597
ENSG00000196417.13,ZNF765,4.6300403,4.3997304,3.397349,2.7353394,1.6524589,2.2350056
ENSG00000196419.12,XRCC6,197.988801,208.249875,156.151163,283.8245267,291.0685374,233.570927
ENSG00000196421.8,C20orf204,1.2648137,1.956285,0.9961531,0.290056,0.658597,0.614462
ENSG00000196427.13,NBPF4,1.54257,0.964476,1.95967,6.79646,6.73407,6.445631
ENSG00000196458.11,ZNF605,5.316404,4.787528,5.61799,2.283706,2.118811,3.977831
ENSG00000196476.12,C20orf96,9.812178,12.348628,17.864445,3.901976,3.8495,7.192421
ENSG00000196498.13,NCOR2,131.1796158,136.143048,172.5096883,183.968858,207.505759,192.243851
ENSG00000196502.11,SULT1A1,11.0942951,8.880023,19.7562158,15.70235121,18.6662071,20.2081508
ENSG00000196505.11,GDAP2,21.286657,18.472445,19.016311,27.299471,22.679051,26.86744
ENSG00000196542.8,SPTSSB,208.36542,162.34533,108.26751,380.25474,351.30858,254.92249
ENSG00000196549.10,MME,10.78764,12.11425453,2.2877359,0.9103276,0.765877785,1.134724482
ENSG00000196550.10,FAM72A,10.8749864,10.784024,7.879682,14.648517,17.527286,12.979724
ENSG00000196557.13,CACNA1H,71.3731013,84.15684166,107.8358554,49.099895,50.80914666,48.201004
ENSG00000196581.10,AJAP1,0.06066721,0.0115282,0,0.1578985,0.1779775,0.2403875
ENSG00000196584.3,XRCC2,2.51468,1.58732,1.89452,6.076224,5.070684,5.2666984
ENSG00000196620.10,UGT2B15,5.40857,4.57296,4.68807,0.505349,0.316698,0.644585
ENSG00000196642.19,RABL6,105.590752,108.412336,124.189012,53.281617,56.621425,52.318922
ENSG00000196652.11,ZKSCAN5,6.03368,6.32457,7.053422,3.110343,2.444884,3.607024
ENSG00000196659.9,TTC30B,5.93648,6.50374,5.00185,2.41354,2.6633,2.99359
ENSG00000196663.16,TECPR2,19.578014,24.853434,30.32831,6.5937,3.520368,5.088758
ENSG00000196670.13,ZFP62,24.044169,21.633674,30.605682,14.97656,10.158734,16.234206
ENSG00000196689.12,TRPV1,0.8234708,0.81031868,1.7741703,0.3867362,0.32046388,0.6626958
ENSG00000196693.15,ZNF33B,6.734072,5.157043014,7.0501,1.979575,4.641599,2.471301
ENSG00000196700.9,ZNF512B,37.1943,38.5608,46.4105,19.8985,21.2602,21.7551
ENSG00000196730.13,DAPK1,0.13739427,0.410073555,0.398858776,1.269366594,1.399303544,0.227877949
ENSG00000196747.4,HIST1H2AI,37.2746,42.7078,74.6313,7.78219,5.46689,8.85851
ENSG00000196781.15,TLE1,70.929524,81.70788,58.161624,34.053289,34.454912,30.74048
ENSG00000196787.3,HIST1H2AG,8.93723,13.3559,10.7478,2.64974,2.07307,2.97786
ENSG00000196793.13,ZNF239,3.599261,2.758914,2.7688061,5.625364,5.714287,5.59469
ENSG00000196839.13,ADA,5.6328616,6.022388,12.660874,14.6599905,19.734425,20.355367
ENSG00000196843.16,ARID5A,9.255684,10.498704,13.734106,2.895437,3.845824,6.581708
ENSG00000196850.6,PPTC7,5.85438,5.37617,6.73349,16.1977,15.272151,16.2158
ENSG00000196865.4,NHLRC2,5.90744,4.748683,4.917966,8.20652,5.489656,6.93179
ENSG00000196873.15,CBWD3,35.61356883,30.59560615,34.390916,7.9705387,10.8241036,26.204887
ENSG00000196876.15,SCN8A,1.045912865,1.27105625,1.299414895,0.674631,0.288947364,0.541182388
ENSG00000196890.4,HIST3H2BB,1.4491,1.97669,2.57249,0.348305,0.407724,0.498687
ENSG00000196911.10,KPNA5,10.33183,11.20517,8.77661,2.57211,2.025031,3.214514
ENSG00000196917.5,HCAR1,1.42612,1.43296,1.41122,2.71429,2.29071,3.56265
ENSG00000196922.10,ZNF252P,28.7574444,29.936863,32.1473559,9.853405,7.4194554,9.774524
ENSG00000196935.9,SRGAP1,8.340155,12.7786793,8.4289958,5.064648,3.95283,6.6415927
ENSG00000196937.11,FAM3C,67.17365,67.990506,50.546085,34.533749,34.179656,33.4881878
ENSG00000196954.14,CASP4,4.74345646,4.5626212,13.940086,2.2328702,1.5930613,3.025282643
