gene_id,gene_name,mcf7_sicbx2_1,mcf7_sicbx2_2,mcf7_sicbx2_3,mcf7_siscr_1,mcf7_siscr_2,mcf7_siscr_3
ENSG00000177042.14,TMEM80,30.092548,33.45243604,35.356341,7.421451,7.76061,12.7728161
ENSG00000177082.12,WDR73,65.954688,77.591793,68.039207,22.145737,21.28931501,27.1741816
ENSG00000177103.14,DSCAML1,0.739217,0.677899,0.760358,0.22032,0.3733411,0.336734
ENSG00000177106.16,EPS8L2,191.215271,243.102287,271.95133,101.998355,117.778876,133.4525844
ENSG00000177169.10,ULK1,131.560456,184.821661,245.32691,68.66694,88.18062,116.343169
ENSG00000177239.15,MAN1B1,93.482857,92.507723,82.148333,42.39517,46.75569,37.8654386
ENSG00000177283.7,FZD8,19.9841,22.1843,19.2415,5.54376,5.40744,5.05344
ENSG00000177374.13,HIC1,1.813642017,1.48110947,1.444475,0.3039216,0.3881477,0.4869369
ENSG00000177383.4,MAGEF1,109.695,115.455,129.739,65.2039,70.9009,62.089
ENSG00000177427.13,MIEF2,16.852345,19.7265361,21.4584893,8.7752968,10.076184,8.675219
ENSG00000177459.11,ERICH5,0.861731,0.141995,0.368999,0,0,0.085768
ENSG00000177469.13,CAVIN1,4.4294,5.16184,2.07076,1.70671,1.64381,1.53734
ENSG00000177519.4,RPRM,11.4625,14.4379,12.9977,1.29592,1.75233,1.25132
ENSG00000177548.13,RABEP2,48.023455,49.868621,54.745416,23.511028,24.195082,21.309852
ENSG00000177614.11,PGBD5,4.208798,3.57179,2.324605,1.240058,1.611725,0.868379
ENSG00000177628.16,GBA,43.0539461,48.359607,53.2555851,18.106536,18.70983986,18.033753
ENSG00000177674.16,AGTRAP,44.563965,50.796284,65.66257,15.962317,21.002463,25.887987
ENSG00000177692.11,DNAJC28,1.183633,0.947593,0.766312,0.1725244,0.2033777,0.2573596
ENSG00000177694.16,NAALADL2,3.0967989,2.8815613,0.91135804,0.4229091,0.3792685,0.2422418
ENSG00000177697.19,CD151,279.4966757,313.156949,313.706489,149.1489966,151.59022,144.873336
ENSG00000177707.11,NECTIN3,6.276423,5.727098241,2.23501061,1.857416547,1.129929,2.717039
ENSG00000177732.8,SOX12,42.8029,48.0256,56.9854,19.4739,17.945,20.068
ENSG00000177791.11,MYOZ1,1.10896,1.30865,0.0325442,0.13093,0.124969,0
ENSG00000177854.8,TMEM187,20.294987,29.87254,28.52541,12.2104,13.6669,10.9151
ENSG00000177868.12,SVBP,27.46401,28.05437,26.974913,12.838009,13.602201,12.82773
ENSG00000177946.6,CENPBD1,12.861858,14.10023,14.08402,3.67688,3.13897,3.40663
ENSG00000177951.17,BET1L,35.554842,41.18503,41.669602,15.02355,18.02247,18.06326
ENSG00000177963.14,RIC8A,61.576123,78.750119,61.451992,29.325628,30.71061,31.425165
ENSG00000178053.18,MLF1,27.01682527,17.7417788,19.1287356,10.2279615,11.4560554,11.6405004
ENSG00000178104.19,PDE4DIP,68.70463041,73.00581721,49.1789309,27.1418282,28.96810662,30.3386828
ENSG00000178125.14,PPP1R42,3.771784,2.729004,3.490762,0,0,0
ENSG00000178149.17,DALRD3,27.894045,28.427735,26.543051,14.081669,15.080619,13.8260645
ENSG00000178184.16,PARD6G,12.20143,11.0713,11.29438,4.630639,5.72552,5.341589
ENSG00000178188.14,SH2B1,42.448874,50.262,64.016089,17.6136273,20.0800344,21.066331
ENSG00000178202.13,KDELC2,20.083352,21.967536,11.953278,9.956126,8.917938,8.0410905
ENSG00000178209.15,PLEC,119.315922,130.9068129,141.036665,51.684013,46.66437364,36.24051401
ENSG00000178235.7,SLITRK1,1.2079,1.17505,0.993578,0.0169925,0.00810849,0
ENSG00000178401.16,DNAJC22,45.42916,51.98938,19.7057,10.80165,11.718593,10.714852
ENSG00000178531.6,CTXN1,181.563,215.241,219.356,43.2836,54.7997,54.8981
ENSG00000178537.10,SLC25A20,19.88021,22.324417,24.70957,6.668303,6.169312,8.7224404
ENSG00000178538.10,CA8,12.7059347,13.5226459,10.469272,3.820632,3.034482,4.608945
ENSG00000178585.15,CTNNBIP1,58.51942,55.70725,50.0222,27.394222,27.779959,25.29052
